"","Rede.Rodoviária","Rede.Rodoviária.Clandestina","Área.Devastada","População","Renda.domiciliar.per.capita","Taxa.de.desemprego","Homicídios","PIB","Exportação","Analfabetos"
"147",33575.3581457414,20007.9239681036,7756.46849200365,5445458.79873749,519.882874632756,8.44605638003478,697.255793477288,45151119.833846,1372484786.18275,12.8549821127435
"148",33583.61,20092,7845,5448598,519.55,8.46,695,45159307,1380913238,12.83
"149",33592.1505399484,20180.5860179084,7911.04695827681,5451559.66963264,518.913443046163,8.47503421155094,692.919713849448,45164860.4658519,1389477298.70415,12.8047468412437
"150",33600.9512774673,20273.4962629108,7955.20961364855,5454365.68991512,517.992398626674,8.49126482013892,691.021032166322,45168020.1736638,1398160409.19581,12.7793567873765
"151",33609.974428475,20370.4522432283,7978.61482136803,5457040.67911904,516.814535962447,8.50879185447045,689.302864026564,45169170.2831389,1406941505.82747,12.7539945484039
"152",33619.1822088897,20471.1754670821,7982.38943668809,5459609.25551603,515.407524274399,8.52771534325204,687.764118506115,45168694.9539808,1415799524.95166,12.7288248343313
"153",33628.5368346298,20575.3874426935,7967.66031486153,5462096.03737769,513.799032783445,8.54813531519018,686.403704680917,45166978.3458927,1424713402.92087,12.704012355164
"154",33638.0005216133,20682.8096782836,7935.55431114119,5464525.64297566,512.016730710501,8.57015179899138,685.22053162691,45164404.6185782,1433662076.08763,12.6797218209074
"155",33647.5354857586,20793.1636820736,7887.19828077988,5466922.69058153,510.088287276482,8.59386482336214,684.213508420037,45161357.9317406,1442624480.80444,12.6561179415669
"156",33657.103942984,20906.1709622848,7823.71907903043,5469311.79846694,508.041371702303,8.61937441700898,683.381544136239,45158222.4450833,1451579553.4238,12.6333654271478
"157",33666.6681092077,21021.5530271383,7746.24356114565,5471717.5849035,505.90365320888,8.6467806086384,682.723547851457,45155382.3183098,1460506230.29823,12.6116289876556
"158",33676.1902003478,21139.0313848553,7655.89858237837,5474164.66816281,503.702801017128,8.67618342695689,682.238428641633,45153221.7111235,1469383447.78023,12.5910733330956
"159",33685.6324323228,21258.3275436571,7553.81099798141,5476677.66651651,501.466484347963,8.70768290067097,681.925095582707,45152124.7832277,1478190142.22233,12.5718631734732
"160",33694.9570210508,21379.1630117648,7441.10766320758,5479281.1982362,499.222372422301,8.74137905848714,681.782457750622,45152475.6943258,1486905249.97701,12.5541632187938
"161",33704.12618245,21501.2592973997,7318.91543330972,5481999.88159351,496.998134461056,8.77737192911191,681.809424221319,45154658.6041214,1495507707.3968,12.5381381790627
"162",33713.1021324388,21624.3379087829,7188.36116354064,5484858.33486004,494.821439685145,8.81576154125177,682.004904070738,45159057.6723177,1503976450.83421,12.5239527642853
"163",33721.8470869354,21748.1203541357,7050.57170915317,5487881.17630742,492.719957315483,8.85664792361324,682.367806374822,45166057.0586182,1512290416.64174,12.5117716844671
"164",33730.3232618579,21872.3281416792,6906.67392540012,5491093.02420727,490.721356572985,8.90013110490282,682.897040209513,45176040.9227263,1520428541.1719,12.5017596496133
"165",33738.4928731248,21996.6827796347,6757.79466753432,5494518.49683119,488.853306678566,8.94631111382701,683.59151465075,45189393.4243454,1528369760.7772,12.4940813697294
"166",33746.3181366542,22120.9057762233,6605.06079080858,5498182.21245081,487.143476853143,8.99528797909232,684.450138774476,45206498.7231789,1536093011.81015,12.4889015548208
"167",33753.7612683644,22244.7186396662,6449.59915047574,5502108.78933774,485.619536317631,9.04716172940525,685.471821656632,45227740.9789303,1543577230.62326,12.4863849148927
"168",33760.7844841735,22367.8428781847,6292.5366017886,5506322.8457636,484.309154292945,9.10203239347231,686.65547237316,45253504.3513028,1550801353.56904,12.4866961599507
"169",33767.35,22490,6135,5510849,483.24,9.16,688,45284173,1557744317,12.49
"170",33773.4329502883,22610.9708280228,5978.05423235187,5515704.21339251,482.432503316648,9.22104149549154,689.503723437094,45320010.2300348,1564395417.98418,12.4964155374979
"171",33779.0601435885,22730.7734439225,5822.51631404265,5520874.81958244,481.878136748481,9.28464149763695,691.162600880383,45360795.9276582,1570785396.45178,12.505879444709
"172",33784.2713069767,22849.4852440581,5669.14129225987,5526339.49528505,481.561133458026,9.35016154192297,692.972000349806,45406189.124431,1576955353.04852,12.5182827863495
"173",33789.1061675293,22967.1836247883,5518.6842141911,5532076.91721561,481.46572660781,9.41696316383636,694.927289865304,45455848.8519137,1582946388.42012,12.533516627136
